station_id,name,short_name,lat,lon,region_id,rental_methods,capacity,external_id,eightd_has_key_dispenser,has_kiosk,station_geom
523,Lafayette Park (Laguna St at Washington St),SF-E21,37.791965999999995,-122.429315,,,0,,,false,POINT(-122.429315 37.791966)
501,Balboa Park (San Jose Ave at Sgt. John V. Young Ln,SF-Y16,37.72489268,-122.4432385,,,0,,,false,POINT(-122.443238497 37.724892684)
504,Onondaga Ave at Alemany Blvd,SF-AA17,37.72154367,-122.43830323,,,0,,,false,POINT(-122.438303232 37.721543666)
539,North Point St at Divisadero St,SF-A18,37.802949,-122.442702,,,0,,,false,POINT(-122.442702 37.802949)
535,Filbert St at Fillmore St,SF-C19,37.798013999999995,-122.435562,,,0,,,true,POINT(-122.435562 37.798014)
505,Geneva Ave at Moscow St,SF-CC18,37.71319254,-122.43349135,,,0,,,false,POINT(-122.433491349 37.713192538)
544,Allyne Park (Green St at Gough St),SF-C21,37.797249,-122.427457,,,19,,,true,POINT(-122.427457 37.797249)
546,13th St at Webster St,OK-L6-2,37.8026884,-122.26914637,,,19,,,true,POINT(-122.269146368 37.802688402)
536,Fillmore St at Jefferson St,SF-A19,37.805375999999995,-122.437261,,,27,,,true,POINT(-122.437261 37.805376)
412,Glen Park BART Station,SF-W19,37.7328128,-122.43414044,3,,40,,,true,POINT(-122.434140444 37.732812801)
386,24th St at Bartlett St,SF-Q23-3,37.75210498,-122.41972357,3,,16,,,true,POINT(-122.41972357 37.752104984)
499,Otis St at Brady St,SF-K23,37.772219,-122.41997599999999,3,,22,,,true,POINT(-122.419976 37.772219)
400,Buchanan St at North Point St,SF-A20,37.8044325,-122.433523,3,,28,,,true,POINT(-122.433523 37.8044325)
37,2nd St at Folsom St,SF-H29,37.785452910000004,-122.39651173,3,,37,,,true,POINT(-122.396511734 37.785452906)
38,The Embarcadero at Pier 38,SF-H30,37.78292609,-122.38792062,3,,26,,,true,POINT(-122.387920618 37.782926087)
15,San Francisco Ferry Building (Harry Bridges Plaza),SF-E29-1,37.795392,-122.394203,3,,38,,,true,POINT(-122.394203 37.795392)
533,Front St at California St,SF-E28-2,37.793177,-122.398823,3,,32,,,true,POINT(-122.398823 37.793177)
64,5th St at Brannan St,SF-J28,37.7767539,-122.3990176,3,,0,,,true,POINT(-122.3990176 37.7767539)
479,Washington St at Van Ness Ave,SF-E22,37.79297985,-122.42330164,3,,3,,,false,POINT(-122.423301637 37.792979855)
108,16th St Mission BART,SF-N22-1A,37.7646845,-122.4199265,3,,11,,,true,POINT(-122.4199265 37.7646845)
460,Terry Francois Blvd at Warriors Way,SF-M30-2,37.76909489,-122.38633275,3,,12,,,true,POINT(-122.38633275 37.769094887)
538,Haight St at Lyon St,SF-K17-2,37.770519,-122.442326,3,,12,,,true,POINT(-122.442326 37.770519)
433,Gennessee St at Monterey Blvd,SF-W14,37.73165669,-122.45112151,3,,15,,,true,POINT(-122.451121509 37.73165669)
62,Victoria Manalo Draves Park,SF-J26,37.77779057,-122.40643188,3,,15,,,true,POINT(-122.406431884 37.77779057)
446,Mint St at Mission St,SF-H26-2,37.78227953,-122.40731299,3,,15,,,true,POINT(-122.407312989 37.78227953)
323,Broadway at Kearny St,SF-C26-1,37.79801364,-122.40595043,3,,15,,,true,POINT(-122.405950427 37.798013644)
142,Guerrero Park,SF-S22-2,37.7457388,-122.42214024,3,,15,,,true,POINT(-122.422140241 37.745738796)
145,29th St at Church St,SF-T20,37.7436839,-122.4268059,3,,15,,,true,POINT(-122.4268059 37.7436839)
140,Cesar Chavez St at Dolores St,SF-S21,37.7478584,-122.4249863,3,,15,,,true,POINT(-122.4249863 37.7478584)
459,Utah St at 24th St,SF-Q26,37.753259,-122.4055145,3,,15,,,true,POINT(-122.4055145 37.753259)
